# Initial configuration of proteins
#
C 161 0 1.977338 2.047055 2.482690 1.9773382.047055 2.482690
C 162 0 2.188230 2.031933 0.291586 2.1882302.031933 0.291586
C 163 0 2.151741 2.072477 2.456964 2.1517412.072477 2.456964
C 164 0 2.247141 1.963750 0.262722 2.2471411.963750 0.262722
C 165 0 1.823994 1.823087 0.767620 1.8239941.823087 0.767620
C 166 0 2.171691 2.011060 3.918897 2.1716912.011060 3.918897
C 167 0 1.893345 1.782506 2.926384 1.8933451.782506 2.926384
C 168 0 2.198982 2.143018 3.053669 2.1989822.143018 3.053669
C 169 0 1.799851 1.967697 2.653717 1.7998511.967697 2.653717
C 170 0 2.153315 2.048763 1.481328 2.1533152.048763 1.481328
C 171 0 2.022405 1.791568 0.153118 2.0224051.791568 0.153118
C 172 0 2.124576 1.942993 1.708949 2.1245761.942993 1.708949
C 173 0 1.791896 1.963517 1.901591 1.7918961.963517 1.901591
C 174 0 2.160194 2.148166 3.296692 2.1601942.148166 3.296692
C 175 0 1.944476 1.758654 1.063751 1.9444761.758654 1.063751
C 176 0 2.112997 2.008681 2.055037 2.1129972.008681 2.055037
C 177 0 1.901307 2.178765 2.198492 1.9013072.178765 2.198492
C 178 0 2.032304 2.155961 3.079130 2.0323042.155961 3.079130
C 179 0 2.083705 2.118441 2.274387 2.0837052.118441 2.274387
C 180 0 2.022431 1.980344 2.746719 2.0224311.980344 2.746719
C 181 0 2.138274 1.916802 0.385731 2.1382741.916802 0.385731
C 182 0 2.020804 1.843691 1.643714 2.0208041.843691 1.643714
C 183 0 2.050425 1.928688 0.765467 2.0504251.928688 0.765467
C 184 0 2.035386 2.229240 1.313684 2.0353862.229240 1.313684
C 185 0 2.192400 2.018137 3.481726 2.1924002.018137 3.481726
C 186 0 2.246866 2.022199 1.072128 2.2468662.022199 1.072128
C 187 0 2.238145 2.055543 1.708590 2.2381452.055543 1.708590
C 188 0 2.002460 1.792031 2.863662 2.0024601.792031 2.863662
C 189 0 2.094375 1.922753 0.313321 2.0943751.922753 0.313321
C 190 0 2.073448 2.149363 1.905823 2.0734482.149363 1.905823
C 191 0 1.825684 2.008544 3.242885 1.8256842.008544 3.242885
